27.9	27.7	28.2
25.7	27.9	27.7
23.1	25.7	27.9
20.6	23.1	25.7
21.2	20.6	23.1
22.4	21.2	20.6
25.1	22.4	21.2
25.5	25.1	22.4
25.6	25.5	25.1
28.3	25.6	25.5
29	28.3	25.6
28.1	29	28.3
29	28.1	29
26	29	28.1
23.6	26	29
22.5	23.6	26
21.5	22.5	23.6
22	21.5	22.5
24.1	22	21.5
26.6	24.1	22
26.5	26.6	24.1
29.2	26.5	26.6
30.2	29.2	26.5
30.1	30.2	29.2
32.5	30.1	30.2
26.8	32.5	30.1
24.5	26.8	32.5
22.1	24.5	26.8
21.7	22.1	24.5
21.4	21.7	22.1
24.7	21.4	21.7
26	24.7	21.4
27	26	24.7
28.6	27	26
28.7	28.6	27
28	28.7	28.6
26.7	28	28.7
25.6	26.7	28
23.6	25.6	26.7
21.8	23.6	25.6
20.6	21.8	23.6
21.6	20.6	21.8
26.2	21.6	20.6
25.4	26.2	21.6
26.5	25.4	26.2
28	26.5	25.4
30.1	28	26.5
30.5	30.1	28
27.9	30.5	30.1
26.1	27.9	30.5
23.9	26.1	27.9
22.4	23.9	26.1
21.7	22.4	23.9
22.6	21.7	22.4
23.8	22.6	21.7
26.7	23.8	22.6
27.4	26.7	23.8
28	27.4	26.7
29	28	27.4
29.6	29	28
28.1	29.6	29
26.5	28.1	29.6
23.6	26.5	28.1
21.3	23.6	26.5
21.6	21.3	23.6
21.9	21.6	21.3
24.1	21.9	21.6
26.4	24.1	21.9
26.5	26.4	24.1
30.5	26.5	26.4
29.6	30.5	26.5
30	29.6	30.5
27.5	30	29.6
26.9	27.5	30
24.5	26.9	27.5
21.1	24.5	26.9
22	21.1	24.5
22.8	22	21.1
23.5	22.8	22
25.2	23.5	22.8
26.7	25.2	23.5
26.8	26.7	25.2
29	26.8	26.7
28.2	29	26.8
29.1	28.2	29
26.7	29.1	28.2
25.4	26.7	29.1
20.2	25.4	26.7
20.8	20.2	25.4
22.3	20.8	20.2
24	22.3	20.8
26.4	24	22.3
25.9	26.4	24
27.9	25.9	26.4
